Artist,Title,Lyrics
Whiskeytown,Nervous Breakdown,"I'm about to have a nervous breakdown  
My head really hurts  
If I don't get the hell outta here  
I'm gonna go berserk, cause  
I'm crazy and I'm hurt  
Head on my shoulders  
I'm going berserk  
Always talk the same old talk  
The same old lies  
You see the way i am  
You stop anytime you can, cause  
I'm crazy and I'm hurt  
Head on my shoulders  
H'm going berserk  
I'm crazy and I'm hurt  
Head on my shoulders  
I'm going berserk

"
Nitty Gritty Dirt Band,Dance Little Jean,"I played a wedding for the money,  
And I wished that I could tell the bride and groom  
Just what I thought of marriage  
And what's in store after their honeymoon.  
  
And I was grumblin' to the dancers  
'Bout how men and women ought to live apart  
And how a promise never made can not be broken  
And can never break your heart  
  
When suddenly from out of nowhere,  
A little girl came dancing 'cross the floor,  
And all her crinolines were billowing  
Beneath the skirt of calico that she wore.  
Oh what a joy fell on the honored guests  
As each of them was drawn inside her dream,  
And they laughed and clapped and stomped their feet  
And hollered at her ""dance little jean""  
  
Dance, little jean, this day is for you,  
Two people you love, stood up and said ""I do""  
Dance little jean, the prayer that you had  
Was answered today  
Your mama's marrying your dad  
  
Well, my cynical heart just melted  
'Cause I knew what this get together meant  
How it ended year of tears and sad confusion  
That the little girl had spent.  
Well they told the band to pack it up  
About the time the couple cut the cake,  
But we played as long as they stayed  
For love and laughs and little jeanie's sake.  
  
Dance, little jean, this day is for you,  
Two people you love, stood up and said ""I do""  
Dance little jean, the prayer that you had  
Was answered today  
Your mama's marrying your dad

"
Tom Jones,Once Upon A Time,"Last night I went to sleep in Detroit City,  
And I dreamed about those cotton fields at home.  
I dreamed about my mother,  
Dear old papa, sister and brother,  
  
I dreamed about that girl  
Who's been waiting for so long.  
I wanna go home, I wanna go home,  
Oh, how I wanna go home!  
  
Home, folks think I'm big in Detroit City.  
From the letters that I write, they think I'm fine.  
But by day, I make the cars,  
And by night I make the bars,  
If only they could read between the lines!  
  
[Spoken]  
  
You know,  
I rode a freight train north to Detroit City.  
After all these years,  
I find that I've just been wastin' my time.  
So I just think I'll take my foolish pride,  
Put on a south bound freight and ride,  
Goin' back to the love ones,  
The ones I left waitin' so far behind.  
  
I wanna go home, I wanna go home,  
Oh, how I want to go home.

"
Avril Lavigne,Alone,"Uh, uh, oh, oh, oh  
Uh, uh, oh, oh, oh  
Hey man  
Tell me what were you thinking?  
What the hell were you saying?  
Oh, come on now, stop and think about it  
Hey now  
Maybe you should just listen  
Maybe you should stop talking for a second  
Shut up, listen to me  
You're so obvious  
You're so oblivious  
And now you wonder why  
You're the one alone  
So don't apologize  
You don't even realize  
You screwed it up this time  
Now you're the one alone  
Uh, uh, oh, oh, oh  
Uh, uh, oh, oh, oh  
Hey bro  
I'm just tryin' to let you know  
You really think that you're special  
Oh, come on now, I've seen so much better  
Hey there  
Did you actually think that I cared?  
Don't know if you want to go there  
Oh, come on now, keep on, keep on dreamin?  
You're so obvious  
You're so oblivious  
And now you wonder why  
You're the one alone  
So don't apologize  
You don't even realize  
You screwed it up this time  
Now you're the one alone  
If you want to be my, uh, uh, oh  
You know you can't play games  
And you know what I mean  
Sorry, but you don't get my, my-why-why-why  
I'm gone, you're still dreaming  
About me over and over and over and over again  
You're so obvious  
You're so oblivious  
And now you wonder why  
You're the one alone  
So don't apologize  
You don't even realize  
You screwed it up this time  
Now you're the one alone  
You're so obvious  
You're so oblivious  
And now you wonder why  
You're the one alone  
So don't apologize  
You don't even realize  
You screwed it up this time  
Now you're the one alone  
Uh, uh, oh, oh, oh  
Uh, uh, oh, oh, oh  
Uh, uh, oh, oh, oh  
Uh, uh, oh, oh, oh  
Alone  

"
Billie Holiday,I Get A Kick Out Of You,"My story is much too sad to be told,  
But practically everything leaves me totally cold.  
The only exception I know is the case  
Where I'm out on a quiet spree  
Fighting vainly the old ennui  
And I suddenly turn and see  
Your fabulous face.  
  
I get no kick from champagne.  
Mere alcohol doesn't thrill me at all,  
So tell me why should it be true  
That I get a kick out of you?  
  
Some get a kick from cocaine.  
I'm sure that if I took even one sniff  
That would bore me terrific'ly too,  
Yet I get a kick out of you.  
  
I get a kick everything I see  
You're standing there before me.  
I get a kick though it's clear to me  
You obviously don't adore me.  
  
I get no kick in a plane.  
Flying too high with some guy in the sky  
Is my idea of nothing to do,  
Yet I get a kick out of you.

"
Aerosmith,Same Old Song And Dance,"Get yourself cooler, lay yourself low  
Coincidental murder, with nothing to show  
When the judge's constipation go to his head  
And his wife's aggravation, you're soon enough dead  
It's the same old story, same old song and dance, my friend  
It's the same old story, same old song and dance, my friend  
  
Gotcha with the cocaine they found with your gun  
No smoothy face lawyer to getcha undone  
Say love ain't the same on the south side of town  
You could look, but you ain't gonna find it around  
It's the same old story, same old song and dance, my friend  
It's the same old story, same old story  
Same old song and dance  
  
Fate comes a-knockin', doors start lockin'  
Your old time connection, change your direction  
Ain't gonna change it, can't rearrange it  
Can't stand the pain when it's all the same to you, my friend  
  
When you're low down and dirty, from walkin' the street  
With your old hurdy-gurdy, no one to meet  
Say love ain't the same, on the south side of town  
You could look, but you ain't gonna find it around  
It's the same old story, same old song and dance, my friend  
It's the same old story, same old story  
Same old song and dance

"
Offspring,D.u.i.,"Three in the morning and I gotta be someplace,  
I don't remember where  
friends try to make me stay, or call me a cab home,  
I grab my keys and a beer  
  
Cops they took my license away,  
got my car out of impound today  
I've been drunk since last Saturday,  
better stay out of my way  
  
I drink and drive  
Feel so alive  
Never take that dive  
Feel so alive  
Doing 95  
I drink and drive  
Feel so alive  
I drink and drive  
  
Early in the morning and the freeway's deserted, like its all mine  
I'm trying to set a new drunken speed record,  
but I can't drive a straight line  
Flashing lights, split the night  
I'm tossing bottles as I swerve to the right  
now I've slammed my face into the back of a big rig  
At least you'll never get me, you fucking pigs!  
Designate someone other than me,  
I'm so drunk I can hardly see  
Another shot of Jager and I turn the key,  
I got so many places to be  
  
When I'm on a binge, my friends all cringe  
They won't drive at night  
'Cause way down on the freeway it's such a fright  
But I think I drive alright

"
Coldplay,Talk,"Oh brother, I can't, I can't get through  
I've been trying hard to reach you 'cause I don' know what to do  
Oh brother, I can't believe it's true  
I'm so scared about the future, and I wanna talk to you  
Oh, I wanna talk to you  
  
You can take a picture of something you see  
In the future where will I be?  
You can climb a ladder up to the sun  
Or a write a song nobody has sung  
Or do something that's never been done  
  
Are you lost or incomplete?  
Do you feel like a puzzle, you can't find your missing piece?  
Tell me, how do you feel?  
Well, I feel like they're talking in a language I don't speak  
And they're talking it to me  
  
So you take a picture of something you see  
In the future where will I be?  
You can climb a ladder up to the sun  
Or write a song nobody has sung  
Or do something that's never been done  
Or do something that's never been done  
  
So you don't know where you're going and you wanna talk  
And you feel like you're going where you've been before  
You tell anyone who'll listen, but you feel ignored  
Nothing's really making any sense at all, let's talk  
Let's talk, let's talk, let's talk

"
Verve,History,"I wander lonely streets  
Behind where the old Thames does flow  
And in every face I meet  
Reminds me of what I have run from  
In every man, in every hand  
In every kiss, you understand  
That living is for other men  
I hope you two will understand  
I've got to tell you my tale  
Of how I loved and how I failed  
I hope you understand  
I've got to tell you my tale  
Of how I loved and how I failed  
I hope you understand  
These feelings should not be in the man  
In every child, in every eye  
In every sky, above my head  
I hope that I know  
So come with me in bed  
Because it's you and me, we're history  
There ain't nothing left to say  
When I will get you alone  
Maybe we could find a room  
Where we could see what we should do  
Maybe you know it's true  
Living with me is like keeping a fool  
In every man, in every hand  
In every kiss, you understand  
That living is for other men  
I hope you know that I am me so come on  
I'm thinking about history  
And I'm living for history  
And I think you know about me  
'Cause I am  
And one and one is two  
But three is company  
When you're thinking about the things you do  
And you're thinking about the things you do  
I want to tell you my tale  
How I fell in love and jumped out on my bail  
I hope you understand there's more in a smile than in a hand  
In every sky, in every kiss  
There's something that I might have missed  
Why am I going to  
A place that now belongs to you  
But you were weak and so was I  
Let's pick it up, let's even try  
To live today, so why not smile  
Don't dream away your life 'Cause it is mine  
Is that a crime, is that a crime, this life is mine  
The bed ain't made but it's filled full of hope  
I've got a skin full of dope

"
Children,Goin' To Boston,"Goodbye, girls, we're goin' to Boston  
Goodbye, girls, we're goin' to Boston  
Goodbye, girls, we're goin' to Boston  
Earlye in the mornin'.  
  
Won't we look pretty in the ballroom  
Won't we look pretty in the ballroom  
Won't we look pretty in the ballroom  
Earlye in the mornin'.  
  
Saddle up, girls, and let's go with them  
Saddle up, girls, and let's go with them  
Saddle up, girls, and let's go with them,  
Earlye in the mornin'.  
  
Won't we look pretty in the ballroom  
Won't we look pretty in the ballroom  
Won't we look pretty in the ballroom  
Earlye in the mornin'.  
  
Get out the way, you'll get run over  
Get out the way, you'll get run over  
Get out the way, you'll get run over  
Earlye in the mornin'.  
  
Won't we look pretty in the ballroom  
Won't we look pretty in the ballroom  
Won't we look pretty in the ballroom  
Earlye in the mornin'.

"
Tragically Hip,The Depression Suite,"Under the pillow  
I bury my head and try to shut Chicago out  
As it turns out there's a whole other world of sounds  
Of perfect fifths low skids and Arctic howls  
  
All saying are you going through something?  
Are you going through something?  
  
Under the pillow a little room to breathe  
The early morning light's a pale cranberry  
I hear the not-wow-wow  
Of a siren faraway and closing steadily  
  
Saying Are you going through something?  
Are you going through something?  
Cause I-I-I-I I am too  
  
Under the pillow  
I can hear you whisperin' are you going through something?  
  
Well honey are you going through something?  
Are you going through something?  
Then I-I-I-I I am too  
Then I-I-I-I I am too  
  
Then I-I-I-I  
  
I am too  
  
Gimme gimme gimme gimme-gimme  
Gimme an opportunity gimme-gimme  
Put me put me put me put me-put me  
In the saddle I'll ride you'll see  
  
There's new work in the Day Room  
I can't lounge on-line  
Don't you laugh  
I'd sell a giraffe and I'd give you half  
Just to occupy my mind  
  
I'll be driven my eyes always moving  
I'll be riveted to the task yea  
No smiling! That's important  
I will make my face a mask  
  
And I'm thinking just in passing  
What if this song does nothing?  
What if this song does nothing  
  
Working in the new New Orleans World  
I'm emptying slots working like a ghost  
I move through huge rooms with no windows  
And no Gulf of Mexico  
  
Gimme gimme gimme gimme-gimme  
Gimme an opportunity gimme-gimme  
Put me put me put me put me-put me  
In the saddle please  
  
I'll be driven my eyes always moving  
I'll be riveted to the task yea  
No smiling! That's so important  
I will make my face a mask  
  
And I'm thinking just in passing  
What if this song does nothing?  
What if this song does nothing?  
What if this song does nothing  
What if this song does nothing  
  
Bring on the requisite strangeness  
It always has to get a little weird a little weird  
Yea you just bring on the requisite strangeness  
Bring it on then disappear disappear  
Go to be a man of the boom  
To Florida without the ocean  
But  
Don't you wanna see how it ends?  
When the door is just starting to open?  
When Athabasca depends?  
Don't you wanna see how it ends  
  
I can hear you  
But I can't stay here  
You left me lost in the Barrens  
You left me born on the stairs  
It's minus 11  
Inside my kettle  
I didn't come to get lost in the Barrens  
I didn't come to settle  
To be a man on the moon  
To get my little slice of heaven  
Yeah  
Don't you wanna see how it ends?  
When the door is just starting to open?  
And Athabasca depends  
Don't ya wanna see how it ends  
  
Don't you wanna see how it ends?  
The door is just starting to open.  
Athabasca depends.  
Don't you wanna see how it ends?  
Yeah  
Don't you wanna see how it ends?  
I'm holding the door to the Barrens  
And Athabasca depends  
Don't ya wanna see how it ends?

"
Rem,Fascinating,"I've latched on, I've been wrong  
No one told me what to wear, no one sent me home  
Space age party, fascinating, I just don't fit in  
Someone throw me anything, the oxygene is thin  
If you just can't speak to me, just throw me a line  
Give me just a little nod, I could fascinate you  
But I am out of place, float in outerspace  
No one wants to pull me in its awful saving face  
I could fascinate, I could serenade  
I'm opinionated, I'll have Vodka Lemonade  
If you just can't speak to me, just throw me a line  
Give me just a little nod, you are fascinated  
I could serenade  
We could throw this party and take off on our own  
Find our own higher place, an odessy back home  
I could not be less included, you could not have known  
In my darkest rose and pennant, I am so alone  
If you just can't speak to me, just throw me a line  
Give me just a little nod, you are fascinated  
I could serenade  
I could fascinate you  
I could resonate

"
Paul Simon,The Coast,"A family of musicians took shelter for the night  
In the little harbor church of St. Cecilia  
Two guitars, bata, bass drum and tambourine  
Rose of Jericho and Bougainvillea  
  
This is a lonely life  
Sorrows everywhere you turn  
And that's worth something  
When you think about it  
That's worth some money  
That's worth something  
When you think about it  
That is worth some money  
  
A trip to the market  
A trip into the pearl gray morning sunlight  
Settling over Washington  
A trip to the market  
A trip around the world  
Where the evening meal  
Is negotiable, if there is one.  
  
This is a lonely life  
Sorrows everywhere you turn  
And that's worth something  
When you think about it  
That's worth some money  
That's worth something  
When you think about it  
That is worth some money  
  
To prove that I love you  
Because I believe in you  
Summer skies, stars are falling  
All along the injured coast  
If I have money  
If I have children  
Summer skies, stars are falling  
All along the injured coast  
Oh-wah oh-wah Doo-wop a Doo-wah  
Summer skies and stars are falling  
All along the injured coast  
Oh-wah oh-wah Doo-wop a Doo-wah  
Summer skies and stars are falling  
All along the injured coast  
  
We are standing in the sunlight  
The early morning sunlight  
In the harbor church of St. Cecilia  
To praise a soul's returning to the earth  
To the rose of Jericho and the Bougainvillea  
  
To prove that I love you  
Because I believe in you  
Summer skies, stars are falling  
All along the injured coast  
If I have money  
If I have children  
Summer skies, stars are falling  
All along the injured coast  
  
If I have weaknesses  
Don't let them blind me now  
Summer skies, stars are falling  
All along the injured coast  
Oh-wah oh-wah  
Doo Wop a Doo Wah  
Summer skies, stars are falling  
Leaving the shadow of the valley behind me now  
All along the injured coast  
Oh-wah oh-wah  
Doo Wop a Doo Wah  
Summer skies and stars are falling  
All along the injured coast  
Oh-wah oh-wah  
Doo Wop a Doo Wah

"
Underoath,It's Dangerous Business Walking Out Your Front Door,"I've been up at this all night long  
I've been drowning in my sleep  
I've prayed for your safe place  
And its time for us to leave  
  
Time is running on empty and the gas is running out  
I've decided that tonight is the night  
That I set love aside  
Full speed ahead this seems to be the place  
I've seen this once before  
Planned perfection sought in my dreams  
Hoping this would take you home  
  
My knuckles have turned to white  
There's no turning back tonight  
So kiss me one last time  
  
Around this turn where the cross will cast your shadow  
The people will all gather  
To remember such a day where the flames grew as high  
As trees  
And the world stopped for you and me  
  
My knuckles have turned white  
There's no turning back tonight  
So hold on tight  
Kiss me one last time  
Shut your eyes  
  
I will now bring new meaning to the word alone  
Endless nights of dreaming of life  
And the days we should have spent here  
  
Drowning in my sleep I'm drowning in my sleep  
  
Glass shatters and comes to a halt  
I thought we'd be there by now  
I thought it would be so much quicker than this  
  
Pain has never been so brilliant  
I made sure you were buckled in  
Now you can walk hand in hand with him

"
Judas Priest,Judas Rising,"White bolt of lightning  
Came out of nowhere  
Blinded the darkness  
Creating the storm  
War in the heavens  
Vengeance ignited  
Torment and tempest  
Attacks like a swarm  
  
Forged out of Flame  
From chaos to destiny  
Bringer of pain  
Forever undying  
  
Judas is Rising  
  
Eternal betrayer  
Ice cold and evil  
Taking no prisoners  
Dark prince of the world  
Humanity trembles  
Enslaving you sinners  
You can't beg for mercy  
For none will be saved  
The burden of sin  
Echoes the prophecy  
Ascending from hell  
Forever despising  
  
Judas is Rising  
  
Their faith is revealed  
Deceivers are crying  
By crucified steel  
Evangelising  
  
Judas is Rising  
Judas is Rising

"
Nazareth,Changin' Times,"When I was younger I used to understand  
That when you're with a girl, you gotta act like a man  
Mama told me that's the way it should be  
And I know my mama never lied to me.  
  
What do you think about you're changin' times  
Cause when I'm with you I just can't make up my mind  
Since I met you don't know right from wrong  
Somebody tell me just what's goin' on  
  
Just can't get myself thinkin' straight  
I'm all shook up and in a terrible state  
Sometimes I think I got it all figured out  
Then you do something new and it just knocks me right out  
  
Someday baby I'm going to have to make a stand  
The way that you treat me baby  
Don't make me feel too much like a man  
And baby, baby, the changes you're goin' through  
You're drivin' me half crazy  
Can't make up my mind what to do about you.  
  
Tellin' myself that time is on my side  
You're gettin' this feelin' that my mind's on the slide  
Dumped on the floor, I feel I'm trapped in a spin  
Don't know how to end, can't think of where to begin  
  
She don't care I know she don't even try  
But when she turns it on  
You know she gets me so high.  
  
She's a lady that's making my life a sin  
You know that I'm runnin' in a losin' race  
There ain't no way I can win  
Baby, baby, the changes you're goin' through  
They're drivin' me half crazy  
Can't make up my mind what to do about you.

"
Maroon 5,If I Fell,"If I fell in love with you  
Would you promise to be true  
And help me understand  
'Cause I've been in love before  
And I found that love was more  
Than just holding hands  
  
If I give my heart to you  
I must be sure  
From the very start  
That you would love me more than her  
  
If I trust in you oh please  
Don't run and hide  
If I love you too oh please  
Don't hurt my pride like her  
  
'Cause I couldn't stand the pain  
And I would be sad if our new love was in vain  
So I hope you see that I  
Would love to love you  
And that she will cry  
When she learns we are two  
  
If I fell in love with you

"
Michael W. Smith,Hang On,"Let the tempest and the flood  
Shake your soul and spill your blood  
Like an old song  
Keep hold'n on  
Let the people laugh at you  
Call you names and say you're through  
Never let go  
Keep hangin' on  
  
Hang on, hang on  
Can you hear me,  
I'm gonna say it again  
Hang on, hang on  
Never giving up, no, never giving in  
  
Hang on every hopeful word  
Even when it seems absurd  
Keep holdin' on  
If you triumph when you fail  
Keep your head when you prevail  
Be a hero  
Keep hangin' around  
  
Hang on, hang on  
Are you listening,  
Let me say it again  
Hang on, hang on  
Never giving up, no,  
Never giving in

"
David Allan Coe,Loving Her (Will Make You Lose Your Mind),"By David Allan Coe  
SHE'S EVERYTHING YOU LOOK FOR IN THAT KIND OF WOMAN  
SHELL DRINK WHISKEY AND DANCE TILL THE CHAMPAGNES ALL GONE  
SHELL BE RIGHT THERE WHEN THE AIR FROM THE OCEAN IS CALLING  
TELLING YOU, SAILOR BEWARE! SOMETHING IS WRONG!  
  
BUT TOUCHING HER MIGHT MAKE YOU LOSE YOUR BLUES TONIGHT  
HOLDING HER MIGHT STOP THE PAIN IN TIME  
KISSING HER MIGHT TAKE AWAY THE LONELINESS YOU FELL  
BUT LOVING HER WILL MAKE YOU LOSE YOUR MIND  
  
JUST LIKE THE MOON AND THE STARS SHELL BE GONE IN THE MORNING  
LEAVING YOU EMPTY AND DRAINED, LIKE THE TIDE YOU'LL BE LOW  
LOOKING FOR SOMETHING TO TAKE THAT WILL MAKE IT ALL BETTER  
YOU'LL TRY TO BUY HER WITH PRESENTS , BUT SAILOR I KNOW.  
  
  

"
Weezer,Miss Sweeney,"Bzzz.... Bzzz....  
Hi, hello, Miss Sweeney?  
Could you please come in my office for a second?  
I'm heading home for the day  
And I thought it'd be good for you and me to check in  
I met with the gal from Expo  
And they do have the ""slab"" cabinets in white  
She thinks we can take the measurements  
Down at the site  
If we do that, we'll be just fine, Miss Sweeney  
That's all I got to say to you at this time, Miss Sweeney  
Actually there's one other thing on my mind  
  
Girl, you make the rain clouds disappear  
The sun always shines when you're near  
I'm waiting until you love me  
  
I'm so sorry Miss Sweeney  
I don't know where that came from  
I think I was overcome by spontaneous emotion  
Anyway, the cash deposit of five thousand will need to be sent to the property
owner tomorrow  
If there are any problems with the deposit or contract  
Don't be afraid to holler  
I don't want to have a approve each stinking dollar  
That we borrow  
Aww forget it, Miss Sweeney  
  
Girl, you make the rain clouds disappear  
The sun always shines when you're near  
I'm waiting until you love me  
  
Miss Sweeney, I got to admit the truth  
I am totally head over heels in love with you  
Every day you come to the office looking fine  
Navy business suit clinging tightly to your spine  
You ask me if I'm ready to get down to work  
Sweeney, baby, I'm ready...be my...  
  
Girl, you make the rain clouds disappear  
The sun always shines when you're near  
I'm waiting until you love me  
Girl, you light the skies of my life  
I swear I will make you my wife  
I'm waiting until you love me

"
Wang Chung,To Live And Die In La,"In the heat of the day  
Every time you go away  
I have to piece my life together  
Every time you're away  
In the heat of the day  
In the dark of the night  
Every time I turn the light  
I feel that God is not in heaven  
In the dark of the night  
The dark of the night  
  
I wonder why I live alone here  
I wonder why we spend these nights together  
Is this the room I'll live my life forever  
I wonder why in LA  
To live and die in LA  
  
I wonder why we waste our lives here  
When we could run away to paradise  
But I am held in some invisible vice  
And I can't get away  
To live and die in LA  
  
If I let myself go  
And for where I just don't know  
I'd maybe hit some cold new river  
That led out to the sea  
An unknown sea  
I'd either swim or I'd drown  
Or just keep falling down and down  
I think its that, that makes me quiver  
Just to keep falling down  
Down, down, down  
  
I wonder why I live alone here  
I wonder why we spend these nights together  
Is this the way I'll live my life forever  
I wonder why in LA  
To live and die in LA  
  
In every word that you say  
I feel my freedom slip away  
I feel the bars come down around me  
And I can't get away  
I can't get away  
  
I wonder why I live alone here  
I wonder why we spend these nights together  
Is this the room I'll live my life forever  
I wonder why in LA  
To live and die in LA  
I wonder why we waste our lives here  
When we could run away to paradise  
But I am held in some invisible vice  
And I can't get away  
To live and die in LA  
  
I can't get away  
To live and die in LA  
I can't get away  
To live and die in LA  
I can't get away  
To live and die in LA  
I can't get away  
To live and die in LA

"
Kenny Rogers,Slow Dance More,"Grady Johnson was a common man  
Four children and some bottom land  
Early to bed he said well that ain't me  
I gotta spend some time with my family  
  
Left to it's own device, May becomes June  
But children grow up way too soon  
  
[Chorus]  
So love your neighbor as yourself  
Don't use money to measure wealth  
Trust in God but lock your door  
Buy low, sell high and slow dance more  
  
Mama Johnson was Grady's wife  
She bore his children and she graced his life  
Hand in hand and side by side  
They worked hard to simplify  
  
Some folks have and some have not  
What really counts  
Is what you do with what you've got  
  
[Chorus]  
  
And more I think I understand  
What my father's father meant  
When he said son what matters most  
You can count on just one hand  
  
[Chorus]  
  
Buy low, sell high and slow dance more

"
Madonna,Joan Of Arc,"[Verse 1]  
Each time they take the photograph  
I lose a part I can't get back  
I wanna hide  
This is the part where I detach  
Each time they write a hateful word  
Dragging my soul into the dirt  
I wanna die  
Never [?] hurts  
  
[Chorus]  
I don't wanna talk about it right now  
Just hold me while I cry my eyes out  
I'm not Joan of Arc, not yet  
But I'm in the dark, yeah  
I can't be superhero right now  
Even hearts made out of steel can break down  
I'm not Joan of Arc, not yet  
I'm only human  
Anything they did to me, said to me  
Doesn't mean a thing cause you're here with me now  
Even when the world turns its back on me  
There could be a war but I'm not going down  
  
[Verse 2]  
One little lie can ruin my day  
Words are like weapons, they betray  
When I am afraid  
One word of kindness, it can save me  
  
[Chorus]  
  
[Bridge]  
Being destructive is  
They couldn't say it to my face  
ONe day I won't care  
But for the moment I'm not there  
I'll just close my eyes and let you catch me now  
  
[Chorus]  
  
[Outro]  
Anything they did to me, said to me  
Doesn't mean a thing cause you're here with me now  
Even when the world turns its back on me  
There could be a war but I'm not Joan of Arc

"
Hollies,Crusader,"All is dark  
The moat is dry  
Shadows fall  
The roof lets in the sky  
All these memories  
Go round in my head  
Of the life I have led  
  
Minstrels play  
Familiar melodies  
And once more  
The past comes back to me  
All these memories  
Go round in my head  
Of the life I have led  
  
The grass has grown much taller now  
Over running everything  
Oh, oh, since I've been gone  
  
The grass has grown much taller now  
Over running everything  
Oh, oh, what have I done  
  
The grass has grown much taller now  
Over running everything  
Oh, oh, since I've been gone  
  
The grass has grown much taller now  
Over running everything  
Oh, oh, since I've been gone  
  
All is dark  
The moat is dry  
Shadows fall  
The roof lets in the sky  
All these memories  
Go round in my head  
Of the life I have led

"
Modern Talking,Just Close Your Eye's,"Did I ever ever told you  
That I miss you every night  
And I cannot find my sleeping girl  
If I cannot hold you tight  
Did I tell you when you left me  
There's no sun up in the sky  
An I cry so many time girl  
Just like a broken toy  
Oh I cannot stand the pain girl  
It was over, I can see  
And now you told me lady,  
there's a chance for you and me  
  
Just close your eyes - and stay with me  
There is a place - where I want to be with you  
Just close your eyes - take me in your heart  
I will love you pretty baby, if you try a start  
  
Did I ever ever told you  
That I dreamed of you last night  
Is there anything I can do  
cause I want to hold you tight  
Did I tell you I was dying  
When turned away from me  
Took away my sweet sweet heaven  
And I lost my destiny  
Oh I cannot stand the pain girl  
It is over, I can see  
And now you told me baby,  
There's a second chance for me

"
Gloria Estefan,Love On Layaway,"If I could only have one wish this holiday  
Without a second thought I'd have to say  
That you can't find what I want in any store  
I just want you to be mine and nothing more  
No brand new clothes could fill my lonely soul  
When the snow falls on the ground and it gets cold  
No expensive gift you put under my tree  
Will keep me warm this holiday if you're not holding me  
I don't want diamond rings, perfume or brand new shoes  
Baby all I want for Christmas is you  
  
Santa bring, on your sleigh, just for me this holiday  
The one I want and make my dreams come true  
I'll be good every day, I'll put some love on layaway  
And spend it all this Christmas on you  
La la la la la la la la la la lay  
Gonna put some love on layaway for you  
La la la la la la la la la la lay  
Gonna spend it all this Christmas on you  
  
If I could win your heart and show you how I feel  
Ain't no way you're gonna find a better deal  
I've been saving all my loving for so long  
And after Christmas is over it still keeps going on  
Everyday would be like Christmas from now on  
Santa bring that love to me where it belongs  
  
Santa bring, on your sleigh, just for me this holiday  
The one I want and make my dreams come true  
I'll be good every day, I'll put some love on layaway  
And spend it all this Christmas on you  
La la la la la la la la la la lay  
Gonna put some love on layaway for you  
La la la la la la la la la la lay  
Gonna spend it all this Christmas on you  
  
I don't want diamond rings, perfume or brand new shoes  
Baby all I want for Christmas is you  
Santa bring, on your sleigh, just for me this holiday  
The one I want and make my dreams come true  
I'll be good every day, I'll put some love on layaway  
And spend it all this Christmas on you  
La la la la la la la la la la lay  
Gonna put some love on layaway  
La la la la la la la la la la lay  
Gonna spend it all this Christmas on you  
La la la la la la la la la la lay  
Gonna put some love on layaway for you  
La la la la la la la la la la lay  
Gonna spend it all this Christmas on you

"
Korn,Here It Comes Again,"Pounding, it starts again  
Hurting, oh where do I began?  
Screaming, they dance around my head  
Hoping, they maybe end up dead  
  
Feeling it ramble, what can I say?  
Really fucked up again (I feel that I can fight)  
I can't fucking given in (I feel that I can fight)  
Can't I ever win (I'll keep it on my mind)  
Here it comes again!  
  
Silent it goes away  
Patient oh, so really should I stay?  
Trying so hard to get ahead  
Failure, is often where I'm lead  
  
Feeling it ramble, what can I say?  
Really fucked up again (I feel that I can fight)  
I can't fucking given in (I feel that I can fight)  
Can't I ever win (I'll keep it on my mind)  
Here it comes again!  
  
Oh I must hold on  
Oh I won't be gone  
Oh I won't stop now  
Oh I don't know how  
  
Why I can't hold on?  
Why I can't be gone?  
Why I can't stop now?  
Why I'm don't know how?  
  
Here we go again (again)  
Here we go again (again)  
Here we go again (again)  
Here we go again (again)  
Here we go again (again)  
Here we go again (again)  
Here we go again (again)  
  
Feeling it ramble, what can I say?  
Really fucked up again (I feel that I can fight)  
I can't fucking given in (I feel that I can fight)  
Can't I ever win (I'll keep it on my mind)  
Here it comes again!

"
Frankie Valli,The Proud One,"Livin' (livin') is dyin' (dyin') 'cause love you left me cryin'.  
Now there's no use tryin' to go on.  
Each night and day baby.  
Pretendin' there'll be a happy endin'.  
Burning down deep inside.  
Got a heart break that I can't hide.  
  
I'm not the proud one.  
I need you.  
I'm beggin' to you baby please.  
You're the proud one.  
Believe me.  
This big man is down on his knees.  
Baby please.  
  
Oh baby (baby), remember (baby), when you were warm and tender.  
Beggin' me surrender to your charm.  
You gave me your sweet lips.  
Said use them.  
Oh, why did I abuse them.  
Didn't know good from bad.  
Girl I didn't know what I had.  
  
I'm not the proud one.  
I need you.  
I'm beggin' to you baby please.  
You're the proud one.  
Believe me.  
This big man is down on his knees.  
Baby please.  
  
Oh baby I love you.  
Please come back.  
I need you.  
I need you.  
  
I'm not the proud one.  
I need you.  
I'm beggin' to you baby please.

"
