Artist,Title,Lyrics
Bon Jovi,Always Run To You,"The clock strikes ten  
Out on the streets again  
I been looking for something to please me since I don't know when  
Out on the dark side of town  
Another rumbles gone down  
And life on the high side isn't what this boys about  
  
She's got something I want man, it's something I need  
It takes more than the night to satisfy me  
I stand accused  
That I can always run to you  
Any road that you choose  
I can always run to you  
I stand accused  
I can always run to you  
I run to you  
Baby, I can always run  
  
To a heart of chrome  
And a soul of steel  
We've done more white lines than you'll know any one we could steal  
And when I give her the gun  
You know she feels so right  
And we don't let go when we're alone when I'm holding her so tight.  
  
She's got something I want man, it's something I need  
It takes more than the night to satisfy me.  
I stand accused  
I can always run to you  
Any road that you choose  
I can always run to you  
I stand accused  
I can always run to you  
I run to you  
Baby, I can always run  
  
And when the morning comes and I go to sleep  
When I close my eyes she's waiting for me  
I know that tonight she'll satisfy me.  
I stand accused  
I can always run to you  
Any road that you choose  
I can always run to you  
I stand accused  
I can always run to you  
I run to you  
Baby, I can always run

"
Hank Williams Jr.,All My Rowdy Friends,"All my rowdy friends have settled down and it seems to be more in the laid
back songs.  
Nobody wants to get drunk and get loud. Everybody just wants to go back home.  
I myself have seen my wilder days and I have seen my name at the top of the
page,  
But I need to find a friend just to run around. But no one wants to get high
on the town  
And all my rowdy friends have settled down.  
  
And I think I know what my father meant when he sang about a lost highway and
old George Jones I'm glad to see he's finally getting straight,  
And Waylon staying home and loving Jesse more these days,  
And nobody wants to get drunk and get loud and all my rowdy friends have
settled down.  
  
And the hang overs hurt more then they used to and corn bread and ice tea took
the place of pills and ninety-proof,  
And it seems like none of us do things quite like we used to do  
And nobody wants to get high on the town and all my rowdy friends have settled
down.  
  
Yeah I think I know what my father meant when he sang about his lost highway
and Johnny Cash don't act like he did back in '68  
And Kriss he is a movie star and he's moved off to L. A.  
And nobody wants to get drunk and get loud and all my rowdy friends have
settled down  
  
Yeah me and my rowdy friends have rowdied on down.

"
Kirsty Maccoll,You Still Believe In Me,"I know perfectly well  
I'm not where I should be  
I've been very aware  
You've been patient with me  
  
Every time we break up  
You bring back your love to me  
And after all I've done to you  
How can it be  
  
You still believe in me  
  
I try hard to be more  
What you want me to be  
But I can't help how I act  
When you're not here with me  
  
I try hard to be strong  
But sometimes I fail myself  
And after all I've promised you  
So faithfully  
  
You still believe in me  
I wanna cry . . .

"
Scorpions,Hour 1,"So here we are  
It's hour one  
And it's a nightmare  
There's nothing left  
And yet it's good to be alive  
There's no use crying  
Cause the universe is not fair  
The wicked and the innocent  
Are fighting to survive  
  
[Chorus]  
Child stay down, stay down  
You better run for cover underground  
Child stay down, stay down  
You better shut your mouth  
Don't make a sound  
  
Human nature is the reason  
For our downfall  
And we deserve it playing God  
With our machines  
Our religions are a prison  
That's our fatal flaw  
Bombs are flying  
While we're sleeping with the enemy  
  
[Chorus]  
  
Look at me, right at me  
When I'm telling you to stay down  
Come to me, run to me  
I am begging you to stay down  
Cling to me desperately  
All you gotta do is stay down  
Pay attention my child down  
  
Look at me, right at me  
When I'm telling you to stay down  
Come to me, run to me  
I am begging you to stay down  
Cling to me desperately  
All you gotta do is stay down  
Pay attention my child  
  
[Chorus]  
  
Child, stay down, stay down  
You better run for cover underground  
Child stay down, stay down  
Stay down

"
Demi Lovato,Mistake,"Now that I'm thinking sober  
Don't you try to get no closer  
I'm just gonna get my car and drive, and drive  
Looking in the rear view mirror  
Everything is so much clearer  
Watch me wave it all goodbye, goodbye  
  
The lights flashing giving me all the danger signs  
Someone to save, to save but it don't work that way  
  
[Chorus]  
Think you made your greatest mistake  
I'm not gonna call this a break  
Think you really blew it this time  
Think you could walk on such a thin line  
Won't be taking your midnight calls  
Ignore the rocks you throw at my wall  
I see it written on your face  
You know you made it, your greatest mistake  
  
When the last straw is broken  
When the last door is closing  
I ain't that dumb to stick around, stick around  
I ain't got the time for looking back  
When you let yourself slip through the cracks  
And you just keep going down, down, down  
  
I must stay undercover, lay low, need some time  
No one to save, to save these sick cycles over me  
  
[Chorus]  
  
Why you looking at me, spitting the same old line  
Trying bring back ain't no flipping my mind  
Don't you get it by now the story's over, over  
Still calling my name outside my house  
I'm hitting the switch, watch the lights go out  
Watch the lights go out  
  
I hope you ache, ache, ache, ah-oh-oh  
I hope you ache, ache, ache, ah-oh, yeah-yeah-yeah  
  
[Chorus]

"
Kid Rock,Midnight Train To Memphis,"I was hiding from the sun once again  
I was running from time my friend  
I've lost another war  
So I poured one more, and went home drunk again  
  
She was up when the key hit the lock  
And the clock looked at me just like the devil in disguise  
I saw it in her eyes  
She'd be gone before the evening  
  
So I poured another strong one  
And chopped a line from here to Texas  
'Cause I've lost another good one  
She's on the midnight train to Memphis  
  
With a brand new start  
I swore I'd love from the heart  
I meant to change my ways  
But I've seen better days  
  
Than the one that's here this morning, mmhm  
With a wife and kids at home  
With a job somewhere on some assembly line  
I wish I had that life  
I bet you wish you had mine  
  
So I poured another tall one  
And chopped a line from here to Texas  
'Cause I've lost another good one  
She's on the midnight train to Memphis  
  
Dude, what station is this, K snooze  
Kid Rock, I thought he was the American bad ass  
He's putting me to sleep  
Nudge me if he gets over five decibels  
I knew his first album was the good one  
  
But that's the way I am, and this is how I jam  
All across the land from Alabam' to bandstand  
Doped up rebel with an attitude, shit  
So fuck a bitch, fuck a bitch, fuck a bitch  
  
I won't switch, won't quit no vices  
Flip the script cause I'm a slice the righteous  
Haven't you heard I don't refrain  
Free as a bird, and so I won't change  
  
Livin' it up, givin' it up, fuckin' shit up, what  
I'm a run the track from the D to Nantucket  
So fuck it, if you don't dig that you can suck it  
Yeah, and it don't, and it don't  
  
With an old suitcase, I swear I'll leave this place  
I'll get you back in time, can't drink you off my mind  
So I'll see you when I'm sober  
I been looking for some reasons  
But I ain't found one down in Texas  
I been changing with the seasons  
Walked in a new line back to Memphis

"
NOFX,Getting High On The Down Low,"I'm on the wagon now but she doesn't know  
I'm getting high on the down low  
Cause when I got the music I got no place to go  
Unless I got a bottle in me  
  
I'm in the Cadillac, they're starting to stare  
Who's the guy with the blood in his hair  
The last thing I remember I was going somewhere  
And then the stop sign got in the way  
  
I'm laying low in a hospital bed  
I gotta a dent and a crack in the head  
That's okay cause I got no idea what I just said  
Gotta love the hospital meds  
  
I'm getting high on the D.L.

"
Iggy Pop,Waiting For The Man,"Reed  
  
I'm waiting for my man, 26 dollars in my hand  
Up to lexington 125  
Feel sick and dirty, more dead than alive  
I'm waiting for my man  
  
Hey, white boy, whatyou doing uptown  
Hey, white boy, you chasing our women around?  
Oh pardon me sir, it's the furthest of my mind  
L'm just lookin for a dear, dear friend of mine  
I'm waiting for my man  
  
Here he comes, he's all dressed in black,  
Beat up shoes and a big straw hat  
He's never early, he's always late  
First thing you learn is thatyou always got to wait  
I'm waiting for my man  
  
Up to brownstone, up three flights of stairs  
Everybody' s pinnedyou but nobody cares  
He's got the works, gives you sweet taste  
Oh, then you gotta split  
Because he's got no time to waste, ah  
I'm waiting for my man  
  
Baby don'tyou holler  
Darling don 'tyou bawl and shout  
I'm feeling good, I'm gonna work it on out  
I'm feeling good, I'm feeling oh so fine  
Until tomorrow, but that's just another time  
I'm waiting for my man

"
LL Cool J,I Need A Beat,"If it's a Malibu beat, subject of discussion  
Malibu beat, subject of discuss-cussion  
You're motivated-vated, to aid a percussion-cussion  
There's no glo-glory, for this story-story  
It-it rock-rock in any territory-tory  
I syncopate it and design it well-well  
Beat elevates-vates, the scratch excels-cels  
All techniques are a combination  
Of skills that I have, thought narration  
  
Last year my melody, but still complete  
Providing musical energy for the street  
Lyrics are smooth for maximum effect  
Jump track patt-erns on cass-ette  
Time-time snare had bass and cymbal  
Like that of a cat on the mic I'm nimble  
Ba-sic patterns, grouped and changed  
Se-quence fre-quent, seek and gain,  
Break, break, for narration  
  
Break two, break two  
  
I'm in the center of a, I'm in the center of a  
Musical skinner, some say the skins is a blow of torture  
They hear me, they fear me, they hear me, they fear me  
I'm improving the conditions of the rap industry  
The beat will expand, to land on foreign lands  
Germany, Italy, France and Japan, it'll  
Give you a lift, no need to sniff  
No butts no how's no why's or if's  
It's you I defeated, they'll say you retreated  
Pick up your favorite magazine and read it  
Wrapped by a power, a musical shower-shower  
A picture-picture of me-of me on the Eiffel-Eiffel Tower-Tower  
I need a beat-beat  
  
Doing-doing dirty, I'm your-your thought  
You're bein'-being taken-taken, the musical boom  
I'm in full treating your eardrums  
Increasing the rate of vibration  
I wanna rock ya-rock ya, that's all you need to know-know  
I need a beat, is the title of the show-show  
Providing-providing pleasure on the musical measures  
All-all arranged, to alleviate pressure  
I'm up on your list, your party thera-therapist  
Beat programmer and lyri-lyricist  
Ladies Love Cool James, studio user  
A million or more screaming people abuser  
I predict, this jam will hit  
The highest plateau in the world of music  
Paparazzi, wealth and fame  
The total propulsion, of my name  
  
I need a beat  
  
Computer wise, and the engineer's eyes  
Have to be very acute, education level high  
The product is mine, beat on the rhyme  
The control was part of the studio design  
Track after track, culminating on wax  
The tape has slack, rewind then back  
Expensive but useful, the music is the fuel  
A perfect place for MC's to duel  
  
I need a beat, Farmer's Boulevard  
Ha ha, Queens! Ladies Love Cool James!  
Cut Creator!

"
Venom,Satanachist,"I preach the ways of Satan  
Answer to his calls  
I translate manuscripts  
On ancient Latin scrolls  
In my shrine, my avernus  
I see the gates of Hell  
Guarded well by Chronozon  
Tortured souls do dwell  
Satanachist  
Satanachist  
I mount the virgin Venus  
Plague the blackened seas  
I am the souls destructor  
Marching without fear  
The night is filled with souls  
In coral exctasy  
The saraband of death  
Will always follow me  
Satanachist  
Satanachist  
I bear the evil eye  
Possess the unbidden  
I'll bring your dead alive  
And chew your flesh from bone  
I stalk through life and death  
With Gorgon for my gaze  
I breath the immortal pain  
Beware the human race  
Satanachist  
Satanachist  

"
Amy Grant,It's A Miracle,"It must have happened sometime in the night  
No one saw the stone be rolled away  
When the grave saw morning light  
The skeptics and friends all had to say  
It's a miracle, it's a miracle  
It's a miracle happened today  
It's a miracle, it's a miracle  
He took the stone and He rolled it away  
My soul is like a tomb in constant night  
Till one day the stone was rolled away  
Then my heart saw morning light  
And no one alive can explain it away  
It's a miracle, it's a miracle  
It's a miracle happened today  
It's a miracle, it's a miracle  
He took the stone and He rolled it away  
Now, now won't you see  
What I'm trying to say?  
If you believe, it could happen today  
It's a miracle, it's a miracle  
It's a miracle happened today  
It's a miracle, it's a miracle  
He took the stone and He rolled it away  
It's a miracle, what a miracle  
It's a miracle happened today  
It's a miracle, what a miracle  
He took the stone and He rolled it away  
(It's a miracle)  
You know it's really a miracle  
A miracle, a miracle  
(It's a miracle)  
You know it's really a miracle  
He took the stone and He rolled it away  
(It's a miracle)  
You know it's really a miracle  
A miracle, a miracle  
(It's a miracle)  
You know it's really a miracle  
He took the stone and He rolled it away  

"
Michael W. Smith,Let It Rain,"Let it rain, let it rain.  
Open the floodgates of heaven  
Repeat  
  
The Lord reigns, let the earth be glad  
Let the distance shores rejoice  
Clouds and thick darkness surround Him  
Righteousness and justice are the foundation of His throne  
A fire goes before Him and consumes His foes on every side  
His lightning lights up the world  
The earth sees and trembles  
The mountains melt like wax before the Lord  
Before the Lord of all the earth  
The heavens proclaim His righteousness  
And all peoples will see His glory  
  
We want to see Your glory, God!  
Do you want to see His glory?  
Lift your voices, lift your hands!  
  
Let it rain, let it rain.  
Open the floodgates of heaven  
Let it rain, let it rain.  
Open the floodgates of heaven

"
America,What Does It Matter,"(Great hits of the sixties)  
Look the lady's got a photograph  
Silver framed and velvet backed  
Well, she took it quite a while ago  
Funny that she never let me know  
What does it matter to me  
If it doesn't show  
I just don't know  
It's only just a memory  
Just a little history  
Oh, oh, oh  
And now she's wearing satin shoes  
Gilded hair to pay the dues  
I guess that I should tip my hat  
I wonder if she'd think of looking back  
What does it matter to me  
If it doesn't show  
I just don't know  
It's only just a memory  
Just a little history  
Oh, oh  
In the parking lot late at night  
Paper straws never worked out right  
I knew I wanted to  
But didn't know why  
So I just said ""Hi""  
(Everybody sing along now)  

"
Bee Gees,Don't Throw It All Away,"Maybe I don't wanna know the reason why  
But lately you don't talk to me  
Darling I can't see me in your eyes  
I hold you near but you're so far away  
And it's losing you I can't believe  
To watch you leave and let this feeling die  
You alone are the living thing that keeps me alive  
And tomorrow if I'm here without your love  
You know I can't survive  
Only my love can raise you high above it all  
  
Don't throw it all away, our love, our love  
Don't throw it all away, our love  
Don't throw it all away, our love, our love  
Don't throw it all away, our love  
  
(break)  
  
We can take the darkness and make if full of light  
But let your love flow back to me  
How can you leave and let this feeling die  
This happy room will be a lonely place when you are gone  
And I won't even have your shoulders for the crying on  
No other women's love could be as true, I'm begging you  
  
Don't throw it all away, our love, our love  
Don't throw it all away, our love  
Don't throw it all away, our love, our love  
Don't throw it all away, our love  
  
We changed the world we made it ours to hold  
But dreams are made for those who really try  
This losing you is real  
But I still feel you here inside  
  
Don't throw it all away, our love, our love  
Don't throw it all away, our love  
Don't throw it all away, our love, our love  
Don't throw it all away, our love  
  
(repeat last verse at least twice more and fade out)

"
Joni Mitchell,Turbulent Indigo,"You want to make Van Goghs  
Raise 'em up like sheep  
Make 'em out of Eskimos  
And women if you please  
Make 'em nice and normal  
Make 'em nice and neat  
You see him with his shotgun there?  
Bloodied in the wheat?  
Oh what do you know about  
Living in Turbulent Indigo?  
  
Brash fields, crude crows  
In a scary sky  
In a golden frame  
Roped off  
Tourists guided by  
Tourists talking about the madhouse  
Talking about the ear  
The madman hangs in fancy homes  
They wouldn't let him near!  
He'd piss in their fireplace!  
He'd drag them through Turbulent Indigo  
  
""I'm a burning hearth,"" he said  
""People see the smoke  
But no one comes to warm themselves  
Sloughing off a coat  
And all my little landscapes  
All my yellow afternoons  
Stack up around this vacancy  
Like dirty cups and spoons  
No mercy Sweet Jesus!  
No mercy from Turbulent Indigo.""

"
David Allan Coe,Marijuanaville,"Rollin' my home grown, Smokin' a big bong  
Look at that Ganja covered with oil  
Using my tweezers, Got pot in the freezer  
Made a new pipe out of aluminium foil  
Wasted away again in Marijuana Ville  
Searching for my roach clip on a rope  
(On a rope On a rope On a rope)  
Some people Claim that there's a woman to blame  
But I know, that it's all this damn dope  
Don't know the reason, Satyed here all season  
Maybe that Tye-stick was a way bit too strong  
But I got a real beauty, A columbian doobie  
And soon I'll be up on my way along  
Wasted away again in Marijuana Ville  
Searching for my roach clip on a rope  
(On a rope On a rope On a rope)  
Some people Claim that there's a woman to blame  
But I know, that it's all this damn dope  
I blew out my bong pipe, Ran out of budlight  
But I found some stash I had hidden at home  
Put it into a blender, And soon it will render  
These little fudge brownies that help me get stoned  
  
Wasted away again in Marijuana Ville  
Searching for my roach clip on a rope  
(On a rope On a rope On a rope)  
Some people Claim that there's a woman to blame  
But I know, that it's all this damn dope  
Yes Some people Claim  
(sing it like bob dyllon) I sound like Dyllon when I'm stoned  
But I know, that it's all this damn dope

"
Hillsong,I Could Sing Of Your Love Forever,"[Intro:]  
Over the mountains and the sea  
Your river runs with love for me  
And I will open up my heart  
And let the Healer set me free  
I'm happy to be in the truth  
And I will daily lift my hands  
For I will always sing of  
Of when Your love came down  
  
[Chorus:]  
I could sing of Your love forever (x4)  
  
[Bridge:]  
Oh I feel like dancing  
It's foolishness I know  
But when the world has seen the light  
They will dance with joy  
Like we're dancing now  
  
I could sing of your love forever (5x)

"
Conway Twitty,Goodbye Time,"Goodbye Time  
It's your life  
You say you need a change  
Don't all the dreams we've seen come true  
  
Mean anything  
You say it's different now  
And you keep staring at the door  
How can you walk away  
Don't I matter anymore  
  
[Chorus]  
If being free  
Is worth what you leave behind  
And if it's too late  
For love to change your mind  
Then it's goodbye time  
  
If we had known  
Our love would come to this  
We could have saved our hearts  
The hurt of wasted years  
  
Well it's been fun  
What else can I say  
If the feeling's gone  
Words won't stop you anyway  
  
[Chorus]

"
Regine Velasquez,Urong Sulong,"Huwag nang mag-alinlangan pa  
Kung gusto mo ako lumapit ka  
Huwag nang patorpe-torpe pa  
Minsan tuloy ako'y naiinis na  
Di mo ba ito napapansin  
Na ako'y may pagtingin din  
Di mo ba ito napupuna  
Na gusto na rin kita  
(Repeat I)  
Bakit ka ganyan  
Puros ligaw tingin ka na lang  
At nong minsan lalapit ka na  
Bakit biglang tumalikod pa  
Koro:  
Urong sulong ka  
Bakit ka ganyan  
Urong sulong ka  
(Repeat Koro twice)  
Huwag nang pag-isipan pa  
Kung gusto mo ako aminin mo na  
Huwag nang patorpe-torpe pa  
Minsan tuloy ako'y naiinis na  
Bakit ka ganyan  
Hindi kita maintindihan  
Damdamin mo'y tinatago pa  
Mabuti pang sabihin mo na  
(Repeat Koro until fade)

"
You Am I,Come Home Wit' Me,"Did you really wanna come out tonight with me?  
Did you just wanna go where everybody else goes?  
Now I don't need to read your mind  
To see or hear that you ain't mine  
Is it just one of us who's gonna take the last late night bus?  
  
[Chorus]  
Come home  
Come home with me  
Come home with me  
  
Your words will always stump me when  
I just need something right  
I wanna kiss you as the sun comes up  
And turns out Friday night  
I got a good mind to get right down to it  
And forget the way I sweat when you're walking through my eye  
  
[Chorus]  
  
I know that I should be ashamed  
To see you walk away again  
And I've heard every excuse before  
But you're just too much for me to lose  
Help me girl  
Stop looking so good  
  
[Chorus]

"
Andy Williams,Can't Get Used To Losing You,"Guess there's no use in hangin' 'round  
Guess I'll get dressed and do the town  
I'll find some crowded avenue  
Though it will be empty without you  
  
Can't get used to losin' you no matter what I try to do  
Gonna live my whole life thorough-loving you  
  
Called up some girl I used to know  
After I heard her say ""Hello""  
Couldn't think of anything to say  
Since you're gone it happens every day  
  
Can't get used to losin' you no matter what I try to do  
Gonna live my whole life through-loving you  
  
I'll find somebody, wait and see  
Who am I kiddin', only me  
Cause no one else could take your place  
Guess that I am just a hopeless case  
  
Can't get used to losin' you no matter what I try to do  
Gonna live my whole life thorough-loving you  
  
I can't get used to losin' you no matter what I try to do  
Gonna live my whole life thorough-loving you

"
Phineas And Ferb,My Nemesis,"My neme, neme, oooo... My neme, neme, neme.  
My neme, neme, oooo... My neme, neme, neme.  
  
I used to sit alone doin' evil all day,  
But now I think there's someone gonna get on my way, yeah,  
There's someone in my life that does'nt want me to exist,  
  
My neme, neme, oooo... My neme, neme, neme  
And I feel fine cause I've got a nemesis.  
My neme, neme, oooo... My neme, neme, neme(x2)  
  
And I hate him, and he hates me,  
What a wonderful animosities,  
Besides his hat he wears no clothes,  
Now I have someone to oppose...  
  
Cause I've got a nemesis!

"
Cinderella,Long Cold Winter,"I've been down  
I've been cryin' in the dead of night  
I've been tryin', i've been tryin'  
To find the time to make it right  
It's gonna be a long cold winter  
Long cold winter without your love  
  
I've been walkin'  
I've been freezin'  
Freezin' from a love i left behind  
I've been searchin', i've been searchin'  
Can't find my peace of mind  
It's gonna be a long cold winter  
Long cold winter without your love  
  
I've been down ooo, i've been down yea  
Baby baby baby ooo i'm freezin'  
I'm freezin', i'm freezin', i'm cold  
So so so cold  
It's gonna be a long cold winter  
Long cold winter without your love yea

"
Doobie Brothers,South City Midnight Lady,"Up all night I could not sleep  
The whiskey that I drank was cheap  
With shakin' hands I went and I lit up my last cigarette  
Well the sun came, night had fled  
And sleepy eyed I reached my bed  
I saw you sleepy dreamin' there all covered and warm  
  
South city midnight lady  
I'm much obliged indeed  
You sure have saved this man whose soul was in need  
I thought there was no reason  
For all these things I do  
But the smile that I sent out returned with you  
  
When day has left the night behind  
And shadows roll across my mind  
I sometimes find myself alone out walkin' the street  
Yes, and when I'm feelin' down and blue  
Then all I do is think of you  
And all my foolish problems seem to fade away  
  
South city midnight lady  
I'm much obliged indeed  
You sure have saved this man whose soul was in need  
I thought there was no reason  
For all these things I do  
But the smile that I sent out returned with you

"
Frank Sinatra,Dance Ballerina Dance,"Dance, ballerina, dance  
And do your pirouette in rhythm with your achin' heart  
Dance, ballerina, dance  
You mustn't once forget a dancer has to dance the part  
Whirl, ballerina, whirl  
And just ignore the chair that's empty in the second row  
This is your moment, girl  
Although he's not out there applauding as you steal the show  
Once you said his love must wait its turn  
You wanted fame instead  
I guess that's your concern  
We live and learn  
And love is gone, ballerina, gone  
So on with your career, you can't afford a backward glance  
Dance on and on and on  
A thousand people here have come to see the show  
As 'round and 'round you go  
So ballerina, dance  
Dance, dance!  
  
Once you said his love must wait its turn  
You wanted fame instead  
I guess that's your concern  
We live and learn  
And love is gone, ballerina, gone  
So on with your career, you can't afford a backward glance  
Dance on and on and on  
A thousand people here have come to see the show  
As 'round and 'round you go  
So ballerina, dance  
Dance!

"
Travis,Flowers In The Window,"When I first held you I was cold  
A melting snowman I was told  
But there was no-one there to hold before  
I swore that I would be alone for ever more  
Wow look at you now  
Flowers in the window  
It's such a lovely day  
And I'm glad you feel the same  
Cause to stand up, out in the crowd  
You are one in a million  
And I love you so  
Lets watch the flowers grow  
  
There is no reason to feel bad  
But there are many seasons to feel glad, sad, mad  
It's just a bunch of feelings that we have to hold  
But I am here to help you with the load  
  
Wow look at you now  
Flowers in the window  
It's such a lovely day  
And I'm glad you feel the same  
Cause to stand up, out in the crowd  
You are one in a million  
And I love you so  
Lets watch the flowers grow  
  
So now we're here and now is fine  
So far away from there and there is time, time, time  
To plant new seeds and watch them grow  
So there'll be flowers in the window when we go  
  
Wow look at us now  
Flowers in the window  
It's such a lovely day  
And I'm glad you feel the same  
Cause to stand up, out in the crowd  
You are one in a million,  
And I love you so  
Lets watch the flowers grow  
Wow look at you now  
Flowers in the window  
Its such a lovely day  
And I'm glad you feel the same  
Cause to stand up, out in the crowd  
You are one in a million  
And I love you so  
Let's watch the flowers grow  
Let's watch the flowers grow

"
Tina Turner,Afterglow,"I need you here beside me to chase the night away  
I need your love to guide me safe through another day  
I lie and watch the lights go down  
Say goodnight to another town  
And though it hurts to be alone  
I have my thoughts of you to keep me warm  
  
In the afterglow of your love  
Dreamings all I'm guilty of  
Everyday I'm playing tough  
But read my mind  
  
If you could see me now  
Just living my life in a limbo  
If you could see me now  
The me that only you would know  
Still burning in the afterglow  
  
When the beat of the drum has faded  
The show comes to an and  
The stage is clear and loaded  
And the highway calls again  
I stand and watch the lights go down  
  
In the afterglow of your love  
Dreamings all I'm guilty of  
Everyday I'm playing tough  
But read my mind  
  
If you could see me now  
Just living my life in a limbo  
If you could see me now  
The me that only you would know  
Still burning in the afterglow  
  
Stay with me right to the end  
Till I can hold you again

"
Imago,Bihag,"Tanggapin,  
Pikit matang umamin saking  
Handa ka ng umalis  
Walang pipigil  
Walang hahadlang  
Sa mainam mong hiling  
  
Ipaskil ang dalangin  
Sa pisarang ang hangin  
Kasabay ng wakas  
Ng isang panaginip  
Agiw sa isip  
Itago ko man  
Mahirap gawin  
Na ikaw ay limutin  
  
Hanggang dito na lang  
(sa muling pagbagtas)  
Handa kang sumuko  
Sa unang pagbitiw  
Matutunan ko sana  
(ang muling pag-angkas)  
Lumayo sa huling sandali  
  
Hanggang dito na lang  
(sa muling pagbagtas)  
Huwag na nating isulat  
Ang maraming mali  
Kung hindi makayanan  
(tumalikod na lang)  
Palayo sa huling sandali  
  
Bago sulitin  
Minutong dadaan  
Bago tuluyang umalis  
Walang pipigil  
Walang hahadlang  
Kung di mo rin matiis  
  
Ipaskil ang dalangin  
Sa pisarang ang hangin  
Kasabay ng wakas  
Ng isang panaginip  
Agiw sa isip  
Itago ko man  
Mahirap gawin  
Na ikaw ay limutin  
  
Hanggang dito na lang  
(sa muling pagbagtas)  
Handa kang sumuko  
Sa unang pagbitiw  
Matutunan ko sana  
(ang muling pag-angkas)  
Lumayo sa huling sandali  
  
Hanggang dito na lang  
(sa muling pagbagtas)  
Huwag na nating isulat  
Ang maraming mali  
Kung hindi makayanan  
(tumalikod na lang)  
Palayo sa huling sandali

"
Squeeze,Out Of Control,"I like schoolgirls and lollipops  
White socks and lemon drops  
Stack heels and knotted ties  
Tight jeans and painted eyes  
Girls dressed in hockey gear  
School days are always here  
Yeah, I'm out of control  
I'm out of control  
And I don't mind saying  
It's gonna be a good one tonight  
I'm out of control  
And I don't mind waiting  
For what you call a bit of alright  
I'm out of control  
I like big girls and Spiderman  
Deep water and Paris tan  
Short skirts and lace-up flies  
Long grass and starry nights  
All girls in navy blue  
Here's what we think of you  
Yeah, we're out of control  
We're out of control  
And I don't mind saying  
It's gonna be a good one tonight  
I'm out of control  
And I don't mind waiting  
For what you call a bit of alright  
I'm out of control  
I like blonde hair and sailor's tops  
Fish tights and prison crops  
Long tongues and docker's grips  
Pony tails and sinking ships  
Swim suits and judo gear  
Look out the boys are here  
Singing we're out of control  
We're out of control  
And I don't mind saying  
It's gonna be a good one tonight  
I'm out of control  
And I don't mind waiting  
For what you call a bit of alright  
I'm out of control

"
Reba Mcentire,All Dressed Up (With Nowhere To Go),"The sign says, ""families welcome""  
At the Oaks Retirement Home  
But mostly, no one comes 'cept on the weekends  
Ruby Wilson lives in 303  
Where she spends most her time  
But it's almost noon on Sunday  
And she's been sitting in the lobby since nine  
  
She's all dressed up in her best hat and gloves  
She's all dressed up  
Watching and waiting, but nobody comes  
Some days sure are lonely days  
And time can move so slow  
When you're all dressed up  
With nowhere to go  
  
As Ruby watches all the others  
Leaving with their families  
The nurse tells her, it's time to come to dinner  
She says she's expecting company  
They're just running late  
But, the nurse knows the truth too well  
She just sighs and walks away  
  
She's all dressed up in her best hat and gloves  
She's all dressed up  
Watching and waiting, but nobody comes  
Some days sure are lonely days  
And time can move so slow  
When you're all dressed up  
With nowhere to go

"
Glen Campbell,Time,"Some people run, some people crawl  
Some people don't even move at all  
Some roads lead forward, some roads lead back  
Some roads are bathed in light and some wrapped in black  
Some people never get and some never give  
Some people never die and some never live  
Some folks treat me mean, some treat me kind  
Most folks just go their way and don't pay me any mind  
Time, oh, good, good time  
Where did you go?  
Time, oh, good, good time  
Where did you go?  
Sometimes I'm satisfied, sometimes I'm not  
Sometimes my face is cold and sometimes it's hot  
At sunset I laugh, at sunrise I cry  
At midnight I'm between and I'm wondering why  
Time, oh, good, good time  
Where did you go?  
Time, oh, good, good time  
Where did you go

"
ABBA,"Honey, Honey","Honey honey, how you thrills me, ah-hah, honey honey  
Honey honey, nearly kill me, ah-hah, honey honey  
I'd heard about you before  
I wanted to know some more  
And now I know what they mean, you're a love machine  
Oh, you make me dizzy  
  
Honey honey, let me feel it, ah-hah, honey honey  
Honey honey, don't conceal it, ah-hah, honey honey  
The way that you kiss goodnight (The way that you kiss me goodnight)  
The way that you hold me tight (The way that you're holding me tight)  
I feel like I want to sing when you do your thing  
  
I don't want to hurt you, baby, I don't want to see you cry  
So stay on the ground, girl, you better not get too high  
But I'm gonna stick to you, boy, you'll never get rid of me  
There's no other place in this world where I rather would be  
  
Honey honey, touch me, baby, ah-hah, honey honey  
Honey honey, hold me, baby, ah-hah, honey honey  
You look like a movie star (You look like a movie star)  
But I know just who you are (I know just who you are)  
And, honey, to say the least, you're a dog-gone beast  
  
So stay on the ground, girl, you better not get too high  
There's no other place in this world where I rather would be  
  
Honey honey, how you thrill me, ah-hah, honey honey  
Honey honey, nearly kill me, ah-hah, honey honey  
I heard about you before  
I wanted to know some more  
And now I know what they mean, you're a love machine

"
